tribunal,codigo_orgao,municipio,uf,nome_orgao,grau,cp_apr_2024,cp_apr_2025,%cp,sus_apr_2024,sus_apr_2025,%sus,cn_12_meses,tbaix_12_meses,desp_12_meses,decinc_12_meses,sentcm_12_meses,sentsm_12_meses,procsm100_apr_2025,conc100_apr_2025,tpsent_12_meses,tpcpl_apr_2025,tc_apr_2025,iad_12_meses
TJSP,59855,SAO PAULO,SP,03 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA,TR,310.0,50.0,-83.9,2.0,7.0,250.0,5.0,267.0,159.0,9.0,2.0,1.0,6.0,3.0,39.0,165.0,14.0,5.34
TJSP,59816,SAO PAULO,SP,02 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO,TR,1.526,1.468,-3.8,1.027,986.0,-4.0,1.0,64.0,122.0,46.0,1.0,0.0,393.0,17.0,29.0,164.0,88.0,6.4
TJSP,70927,SAO PAULO,SP,17ª CÂMARA DE DIREITO PÚBLICO,G2,13.098,12.271,-6.3,558.0,746.0,33.7,6.967,7.799,7.523,4.277,251.0,32.0,8.796,393.0,0.0,164.0,60.0,112.0
TJSP,59817,SAO PAULO,SP,02 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA,TR,107.0,63.0,-41.1,4.0,9.0,125.0,5.0,55.0,54.0,7.0,1.0,0.0,13.0,1.0,6.0,161.0,50.0,1.1
TJSP,70926,SAO PAULO,SP,16ª CÂMARA DE DIREITO PÚBLICO,G2,13.644,13.8,1.1,314.0,636.0,102.5,9.911,9.759,10.675,3.687,380.0,60.0,9.286,454.0,0.0,154.0,57.0,98.0
TJSP,75476,SAO PAULO,SP,11ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO,G2,40.0,32.0,-20.0,17.0,11.0,-35.3,1.0,9.0,8.0,12.0,0.0,0.0,10.0,9.0,77.0,153.0,70.0,900.0
TJSP,10627,SAO PAULO,SP,ITINERANTE PERMANENTE DE CENTRAL,"G1, JE",6.725,6.707,-0.3,21.0,8.0,-61.9,6.0,1.0,0.0,0.0,0.0,0.0,5.268,1.42,,148.0,100.0,17.0
TJSP,59869,SAO PAULO,SP,04 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA,TR,92.0,92.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,5.0,,144.0,100.0,
TJSP,70888,SAO PAULO,SP,3ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,11.0,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,,144.0,100.0,
TJSP,59861,SAO PAULO,SP,03 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA,TR,96.0,56.0,-41.7,5.0,4.0,-20.0,2.0,43.0,45.0,9.0,0.0,0.0,35.0,1.0,,144.0,55.0,2.15
TJSP,59787,SAO PAULO,SP,01 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA,TR,146.0,67.0,-54.1,10.0,8.0,-20.0,24.0,88.0,63.0,42.0,0.0,0.0,40.0,3.0,19.0,144.0,40.0,367.0
TJSP,59835,SAO PAULO,SP,02 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA,TR,140.0,75.0,-46.4,7.0,5.0,-28.6,1.0,87.0,83.0,27.0,0.0,0.0,39.0,6.0,,143.0,45.0,8.7
TJSP,9916,MOGI DAS CRUZES,SP,1VARA-FORO DISTRITAL DE BRÁS CUBAS,"G1, JE",8.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,,140.0,100.0,
TJSP,70886,SAO PAULO,SP,1ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,5.0,4.0,-20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,140.0,67.0,
TJSP,70887,SAO PAULO,SP,2ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,3.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,139.0,100.0,
TJSP,70953,SAO PAULO,SP,1CÂMARA CRIMINAL EXTRAORDINÁRIA,G2,7.0,5.0,-28.6,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,,139.0,71.0,
TJSP,59882,SAO PAULO,SP,09 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,192.0,165.0,-14.1,174.0,0.0,-100.0,0.0,26.0,33.0,104.0,1.0,0.0,4.0,0.0,26.0,136.0,13.0,
TJSP,59768,SAO PAULO,SP,01 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO,TR,996.0,930.0,-6.6,798.0,768.0,-3.8,10.0,80.0,159.0,59.0,2.0,0.0,114.0,27.0,22.0,136.0,67.0,800.0
TJSP,70924,SAO PAULO,SP,14ª CÂMARA DE DIREITO PÚBLICO,G2,19.168,21.161,10.4,1.51,1.986,31.5,17.269,15.328,16.78,6.535,796.0,1.321,9.872,1.338,3.0,135.0,56.0,89.0
TJSP,9395,BAURU,SP,02 FAZENDA PUBLICA DE BAURU,"G1, JE",17.802,12.902,-27.5,7.206,3.265,-54.7,1.274,1.284,3.589,4.926,978.0,147.0,4.975,92.0,24.0,134.0,88.0,101.0
TJSP,9917,MOGI DAS CRUZES,SP,2VARA-FORO DISTRITAL DE BRÁS CUBAS,G1,21.0,19.0,-9.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,,132.0,100.0,
TJSP,10456,SAO PAULO,SP,02 CRIMINAL DE PENHA,"G1, JE",64.0,50.0,-21.9,16.0,8.0,-50.0,0.0,0.0,9.0,0.0,2.0,0.0,35.0,1.0,202.0,132.0,100.0,
TJSP,70955,SAO PAULO,SP,3CÂMARA CRIMINAL EXTRAORDINÁRIA,G2,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,,132.0,100.0,
TJSP,70893,SAO PAULO,SP,8ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,132.0,100.0,
TJSP,70895,SAO PAULO,SP,10ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,3.0,2.0,-33.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,132.0,100.0,
TJSP,70896,SAO PAULO,SP,11ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,132.0,67.0,100.0
TJSP,70891,SAO PAULO,SP,6ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,132.0,100.0,
TJSP,70889,SAO PAULO,SP,4ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,27.0,28.0,3.7,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,21.0,2.0,,132.0,100.0,0.0
TJSP,10695,SUMARE,SP,SAF DE SUMARE,G1,84.209,61.743,-26.7,17.575,35.079,99.6,1.193,24.004,9.976,30.262,4.432,20.351,14.43,97.0,59.0,131.0,53.0,2.012
TJSP,70956,SAO PAULO,SP,4CÂMARA CRIMINAL EXTRAORDINÁRIA,G2,9.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,,131.0,100.0,
TJSP,70931,SAO PAULO,SP,3ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO,G2,28.0,24.0,-14.3,11.0,8.0,-27.3,0.0,3.0,3.0,15.0,0.0,0.0,8.0,2.0,,130.0,82.0,
TJSP,17565,PIRACICABA,SP,01 FAZENDA PUBLICA DE PIRACICABA,"G1, JE",321.487,289.657,-9.9,130.252,117.389,-9.9,6.964,38.958,2.801,18.944,7.223,24.237,117.575,2.263,95.0,130.0,82.0,559.0
TJSP,9517,CATANDUVA,SP,SAF DE CATANDUVA,"G1, JE",83.508,72.906,-12.7,3.789,4.03,6.4,762.0,11.303,2.569,7.982,6.353,8.544,30.043,6.912,141.0,130.0,86.0,1.483
TJSP,10089,PITANGUEIRAS,SP,01 CUMULATIVA DE PITANGUEIRAS,"G1, JE",24.391,17.07,-30.0,949.0,982.0,3.5,1.417,1.496,4.41,4.522,892.0,237.0,3.894,405.0,34.0,130.0,91.0,106.0
TJSP,70899,SAO PAULO,SP,14ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,14.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,130.0,100.0,
TJSP,59750,SANTOS,SP,01 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS,TR,616.0,183.0,-70.3,64.0,48.0,-25.0,8.0,454.0,44.0,8.0,0.0,0.0,83.0,41.0,12.0,129.0,23.0,5.675
TJSP,70890,SAO PAULO,SP,5ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,14.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,,126.0,100.0,
TJSP,59854,SAO PAULO,SP,03 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO,TR,1.016,973.0,-4.2,868.0,841.0,-3.1,2.0,48.0,100.0,18.0,3.0,0.0,87.0,15.0,113.0,126.0,72.0,2.4
TJSP,59238,LORENA,SP,SEF DE LORENA,G1,49.926,46.764,-6.3,9.932,8.985,-9.5,42.0,3.912,587.0,4.383,4.565,1.808,22.755,341.0,126.0,125.0,91.0,9.314
TJSP,9389,BAURU,SP,01 FAZENDA PUBLICA DE BAURU,"G1, JE",21.102,11.319,-46.4,12.971,3.632,-72.0,1.217,1.347,2.519,6.088,1.027,62.0,4.238,130.0,21.0,125.0,85.0,111.0
TJSP,70954,SAO PAULO,SP,2CÂMARA CRIMINAL EXTRAORDINÁRIA,G2,4.0,3.0,-25.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,124.0,75.0,
TJSP,70897,SAO PAULO,SP,12ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,15.0,12.0,-20.0,3.0,2.0,-33.3,0.0,3.0,0.0,1.0,0.0,0.0,8.0,1.0,,124.0,75.0,
TJSP,59769,SAO PAULO,SP,01 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA,TR,221.0,95.0,-57.0,5.0,6.0,20.0,7.0,146.0,61.0,3.0,0.0,0.0,21.0,1.0,16.0,123.0,38.0,2.086
TJSP,59881,SAO PAULO,SP,08 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,182.0,160.0,-12.1,164.0,130.0,-20.7,2.0,24.0,35.0,117.0,1.0,0.0,3.0,0.0,10.0,123.0,11.0,1.2
TJSP,9837,LEME,SP,SEF DE LEME,G1,26.381,24.623,-6.7,2.314,2.935,26.8,69.0,2.013,1.785,6.019,1.715,5.081,12.422,60.0,152.0,123.0,92.0,2.917
TJSP,70900,SAO PAULO,SP,15ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,6.0,5.0,-16.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,123.0,100.0,
TJSP,9748,ITAQUAQUECETUBA,SP,SAF DE ITAQUAQUECETUBA,G1,341.376,100.195,-70.6,12.497,5.207,-58.3,13.011,254.841,158.0,4.004,80.581,185.797,82.028,1.93,93.0,122.0,27.0,1.959
TJSP,59857,MOGI DAS CRUZES,SP,03 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES,TR,373.0,304.0,-18.5,207.0,154.0,-25.6,0.0,78.0,71.0,32.0,4.0,0.0,127.0,10.0,24.0,122.0,64.0,
TJSP,70907,SAO PAULO,SP,TURMA ESPECIAL - DIREITO PRIVADO 1,G2,263.0,273.0,3.8,1.0,1.0,0.0,38.0,27.0,34.0,15.0,4.0,4.0,204.0,51.0,4.0,120.0,91.0,71.0
TJSP,59794,ARARAQUARA,SP,02 TURMA CIVEL DO COLEGIO RECURSAL DA 13 C.J. - ARARAQUARA DE ARARAQUARA,TR,148.0,56.0,-62.2,0.0,0.0,,0.0,94.0,166.0,2.0,3.0,0.0,3.0,0.0,22.0,120.0,3.0,
TJSP,59778,MOGI DAS CRUZES,SP,01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES,TR,444.0,370.0,-16.7,283.0,235.0,-17.0,0.0,75.0,78.0,45.0,1.0,0.0,108.0,27.0,59.0,120.0,64.0,
TJSP,70898,SAO PAULO,SP,13ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,20.0,18.0,-10.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,3.0,,120.0,88.0,
TJSP,59884,TAUBATE,SP,TURMA CIVEL DO COLEGIO RECURSAL DA 47 C.J. - TAUBATE DE TAUBATE,TR,274.0,196.0,-28.5,222.0,190.0,-14.4,0.0,78.0,108.0,32.0,0.0,0.0,2.0,0.0,123.0,120.0,2.0,
TJSP,10497,SAO PAULO,SP,VARA UNICA DE PARELHEIROS,"G1, JE",56.0,56.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,,120.0,100.0,
TJSP,10132,PRESIDENTE PRUDENTE,SP,01 EXECUCOES CRIMINAIS DE PRESIDENTE PRUDENTE,G1,5.965,3.29,-44.8,132.0,102.0,-22.7,476.0,896.0,1.886,2.508,273.0,0.0,1.651,371.0,138.0,120.0,78.0,188.0
TJSP,59230,GUARUJA,SP,FAZENDA PUBLICA DE GUARUJA,"G1, JE",338.47,317.02,-6.3,9.322,19.524,109.4,2.633,23.986,518.0,32.5,18.758,19.306,271.062,4.67,116.0,119.0,93.0,911.0
TJSP,59765,SAO BERNARDO DO CAMPO,SP,01 TURMA CIVEL DO COLEGIO RECURSAL DE SAO BERNARDO DO CAMPO DE SAO BERNARDO DO CAMPO,TR,9.0,2.0,-77.8,2.0,0.0,-100.0,6.0,11.0,16.0,2.0,3.0,0.0,1.0,0.0,40.0,119.0,8.0,183.0
TJSP,9550,CUBATAO,SP,SAF DE CUBATAO,G1,34.89,22.103,-36.6,2.784,2.162,-22.3,441.0,13.211,1.726,1.096,5.467,7.578,9.486,775.0,155.0,119.0,60.0,2.996
TJSP,10927,SAO PAULO,SP,CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL UNIB-FORO CÍVEL CENTRAL,"G1, JE",3.0,2.0,-33.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,117.0,100.0,
TJSP,70958,SAO PAULO,SP,6CÂMARA CRIMINAL EXTRAORDINÁRIA,G2,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,117.0,100.0,
TJSP,10373,SAO JOSE DOS CAMPOS,SP,01 FAZENDA PUBLICA DE SAO JOSE DOS CAMPOS,"G1, JE",16.638,12.33,-25.9,3.672,2.671,-27.3,970.0,1.557,4.117,3.821,473.0,138.0,5.974,26.0,52.0,117.0,86.0,161.0
TJSP,10196,RIO CLARO,SP,FAZENDA PUBLICA DE RIO CLARO,"G1, JE",65.287,64.095,-1.8,6.624,5.858,-11.6,2.061,3.483,11.56,5.126,1.65,1.011,51.525,3.116,63.0,117.0,94.0,169.0
TJSP,10374,SAO JOSE DOS CAMPOS,SP,02 FAZENDA PUBLICA DE SAO JOSE DOS CAMPOS,"G1, JE",15.637,12.066,-22.8,3.494,1.577,-54.9,1.034,967.0,5.294,2.816,628.0,109.0,5.568,20.0,43.0,117.0,92.0,94.0
TJSP,70892,SAO PAULO,SP,7ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,9.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,,117.0,89.0,100.0
TJSP,10037,PENAPOLIS,SP,SEF DE PENAPOLIS,G1,49.481,33.564,-32.2,2.773,1.174,-57.7,823.0,16.583,928.0,1.581,2.022,16.406,21.17,346.0,118.0,116.0,66.0,2.015
TJSP,9568,DIADEMA,SP,FAZENDA PUBLICA DE DIADEMA,"G1, JE",126.477,107.675,-14.9,10.08,8.574,-14.9,4.642,24.28,6.435,5.057,6.684,18.563,85.21,16.0,71.0,116.0,80.0,523.0
TJSP,10187,RIBEIRAO PRETO,SP,02 FAZENDA PUBLICA DE RIBEIRAO PRETO,"G1, JE",17.048,14.339,-15.9,3.578,2.56,-28.5,2.116,2.055,14.0,8.068,873.0,1.901,4.181,343.0,178.0,116.0,85.0,97.0
TJSP,59826,MOGI DAS CRUZES,SP,02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES,TR,298.0,251.0,-15.8,229.0,195.0,-14.8,0.0,50.0,58.0,39.0,9.0,0.0,37.0,7.0,,116.0,47.0,
TJSP,59231,JACAREI,SP,FAZENDA PUBLICA DE JACAREI,G1,121.387,103.707,-14.6,14.107,10.52,-25.4,2.122,19.854,18.354,9.696,3.804,19.207,66.029,5.5,77.0,116.0,82.0,936.0
TJSP,10740,TAUBATE,SP,02 EXECUCOES CRIMINAIS DE TAUBATE,"G1, JE",8.011,3.501,-56.3,135.0,186.0,37.8,0.0,0.0,0.0,0.0,0.0,0.0,1.306,527.0,,115.0,100.0,
TJSP,70894,SAO PAULO,SP,9ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,115.0,100.0,
TJSP,59820,FERNANDOPOLIS,SP,02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 18 C.J. - FERNANDOPOLIS DE FERNANDOPOLIS,TR,217.0,135.0,-37.8,46.0,120.0,160.9,0.0,89.0,28.0,161.0,2.0,0.0,9.0,0.0,54.0,114.0,9.0,
TJSP,59871,SANTOS,SP,05 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS,TR,411.0,181.0,-56.0,68.0,44.0,-35.3,10.0,254.0,73.0,5.0,0.0,0.0,93.0,29.0,,114.0,35.0,2.54
TJSP,71060,SAO PAULO,SP,4ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO,G2,26.0,16.0,-38.5,8.0,4.0,-50.0,1.0,10.0,2.0,13.0,0.0,0.0,9.0,0.0,,113.0,52.0,1.0
TJSP,10186,RIBEIRAO PRETO,SP,01 FAZENDA PUBLICA DE RIBEIRAO PRETO,"G1, JE",20.291,17.765,-12.4,3.82,3.551,-7.0,2.032,1.988,6.088,3.009,1.022,723.0,6.306,315.0,87.0,112.0,88.0,98.0
TJSP,59772,FERNANDOPOLIS,SP,01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 18 C.J. - FERNANDOPOLIS DE FERNANDOPOLIS,TR,257.0,167.0,-35.0,94.0,146.0,55.3,0.0,94.0,23.0,156.0,0.0,0.0,9.0,1.0,66.0,112.0,10.0,
TJSP,70930,SAO PAULO,SP,2ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO,G2,35.0,27.0,-22.9,11.0,6.0,-45.5,1.0,6.0,2.0,19.0,0.0,0.0,11.0,0.0,,111.0,77.0,600.0
TJSP,59851,CAMPINAS,SP,03 TURMA CIVEL DO COLEGIO RECURSAL DA 8 C.J. - CAMPINAS DE CAMPINAS,TR,72.0,34.0,-52.8,44.0,3.0,-93.2,0.0,41.0,33.0,6.0,0.0,0.0,4.0,0.0,161.0,111.0,9.0,
TJSP,9302,ARACATUBA,SP,VARA DA COMARCA DE ARACATUBA,G1,12.405,6.401,-48.4,2.675,2.307,-13.8,7.0,16.0,9.0,8.0,3.0,0.0,3.283,232.0,204.0,110.0,100.0,229.0
TJSP,10907,SAO PAULO,SP,CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL UNIBAN-FORO REGIONAL I - SANTANA,"G1, JE",14.0,11.0,-21.4,3.0,1.0,-66.7,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,,110.0,88.0,
TJSP,72003,SAO PAULO,SP,5ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO,G2,17.0,12.0,-29.4,10.0,6.0,-40.0,0.0,2.0,2.0,11.0,0.0,0.0,3.0,1.0,,110.0,71.0,
TJSP,9335,ATIBAIA,SP,SAF DE ATIBAIA,G1,43.796,41.692,-4.8,8.301,7.826,-5.7,1.998,4.099,0.0,5.899,3.221,1.28,26.628,976.0,111.0,110.0,89.0,205.0
TJSP,59843,SANTOS,SP,03 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS,TR,635.0,391.0,-38.4,64.0,37.0,-42.2,5.0,255.0,35.0,4.0,0.0,0.0,131.0,199.0,,110.0,58.0,5.1
TJSP,71007,CAMPINAS,SP,05 TURMA CIVEL DO COLEGIO RECURSAL DA 8 C.J. - CAMPINAS,TR,28.0,5.0,-82.1,12.0,0.0,-100.0,0.0,26.0,11.0,1.0,0.0,0.0,2.0,0.0,84.0,108.0,7.0,
TJSP,59832,ITANHAEM,SP,02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 56 C.J. - ITANHAEM DE ITANHAEM,TR,140.0,48.0,-65.7,100.0,0.0,-100.0,17.0,116.0,26.0,51.0,16.0,0.0,2.0,0.0,64.0,108.0,2.0,682.0
TJSP,17559,FRANCISCO MORATO,SP,SEF DE FRANCISCO MORATO,G1,54.0,36.524,-32.4,4.433,2.966,-33.1,459.0,17.779,774.0,1.747,1.066,17.96,16.864,23.0,110.0,108.0,65.0,3.873
TJSP,11647,SAO PAULO,SP,SETOR DE EXECUCOES FAZENDA PUBLICA DE CENTRAL,G1,9.641,9.751,1.1,464.0,786.0,69.4,307.0,2.007,518.0,22.453,665.0,1.0,5.953,25.0,292.0,108.0,82.0,654.0
TJSP,70904,SAO PAULO,SP,19ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO,G2,6.0,5.0,-16.7,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,,108.0,86.0,
TJSP,10254,BERTIOGA,SP,01 CUMULATIVA DE BERTIOGA,"G1, JE",15.631,15.095,-3.4,5.984,5.917,-1.1,2.944,3.061,11.707,6.906,2.22,543.0,4.327,184.0,22.0,108.0,75.0,104.0
TJSP,10880,OSASCO,SP,VARA JUIZADO ESPECIAL CIVEL - JIT - ANEXO FIEO - UNIFIEO DE OSASCO,"G1, JE",228.0,227.0,-0.4,125.0,126.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,108.0,100.0,
TJSP,59844,PRESIDENTE PRUDENTE,SP,03 TURMA CIVEL DO COLEGIO RECURSAL DA 27 C.J. - PRESIDENTE PRUDENTE DE PRESIDENTE PRUDENTE,TR,423.0,301.0,-28.8,348.0,259.0,-25.6,1.0,133.0,149.0,10.0,2.0,0.0,17.0,0.0,71.0,107.0,11.0,13.3
TJSP,59779,GUARATINGUETA,SP,01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 48 C.J. - GUARATINGUETA DE GUARATINGUETA,TR,451.0,320.0,-29.0,399.0,0.0,-100.0,1.0,130.0,151.0,86.0,1.0,0.0,3.0,0.0,34.0,107.0,2.0,13.0
TJSP,59873,SAO PAULO,SP,05 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,188.0,165.0,-12.2,155.0,131.0,-15.5,0.0,23.0,31.0,120.0,0.0,0.0,3.0,0.0,,107.0,12.0,
TJSP,9721,ITAPECERICA DA SERRA,SP,SAF DE ITAPECERICA DA SERRA,G1,78.864,14.668,-81.4,20.598,4.689,-77.2,2.005,66.193,1.539,6.457,7.291,58.932,3.757,18.0,96.0,107.0,13.0,3.301
